flat_index,float32_value,bf16_hex,stored_low_byte,stored_high_byte
207,-0.00028228759765625,0xb994,148,185
208,-0.043212890625,0xbd31,49,189
209,0.01953125,0x3ca0,160,60
210,0.0108642578125,0x3c32,50,60
211,0.007781982421875,0x3bff,255,59
212,0.0078125,0x3c00,0,60
213,0.015869140625,0x3c82,130,60
214,0.005615234375,0x3bb8,184,59
215,0.00677490234375,0x3bde,222,59
216,-0.007293701171875,0xbbef,239,187
217,-0.003631591796875,0xbb6e,110,187
218,-0.0014190673828125,0xbaba,186,186
219,0.01397705078125,0x3c65,101,60
220,0.00286865234375,0x3b3c,60,59
221,-0.01080322265625,0xbc31,49,188
222,-0.02880859375,0xbcec,236,188
223,0.00799560546875,0x3c03,3,60
224,0.033203125,0x3d08,8,61
225,-0.005950927734375,0xbbc3,195,187
226,0.0279541015625,0x3ce5,229,60
227,0.0128173828125,0x3c52,82,60
228,-0.01116943359375,0xbc37,55,188
229,0.005859375,0x3bc0,192,59
230,0.0206298828125,0x3ca9,169,60
231,0.005340576171875,0x3baf,175,59
232,-0.00579833984375,0xbbbe,190,187
233,0.00897216796875,0x3c13,19,60
234,-0.01251220703125,0xbc4d,77,188
235,-0.00179290771484375,0xbaeb,235,186
236,-0.007171630859375,0xbbeb,235,187
237,-0.007232666015625,0xbbed,237,187
238,0.00299072265625,0x3b44,68,59
239,0.004241943359375,0x3b8b,139,59
240,0.0152587890625,0x3c7a,122,60
241,0.0022125244140625,0x3b11,17,59
242,0.0228271484375,0x3cbb,187,60
243,-0.00347900390625,0xbb64,100,187
244,0.01385498046875,0x3c63,99,60
245,0.0021820068359375,0x3b0f,15,59
246,0.017333984375,0x3c8e,142,60
247,0.0218505859375,0x3cb3,179,60
248,-0.0277099609375,0xbce3,227,188
249,0.00927734375,0x3c18,24,60
250,-0.01422119140625,0xbc69,105,188
251,-4.76837158203125e-05,0xb848,72,184
252,0.00335693359375,0x3b5c,92,59
253,-0.023193359375,0xbcbe,190,188
254,0.001739501953125,0x3ae4,228,58
255,-0.00848388671875,0xbc0b,11,188
256,0.0096435546875,0x3c1e,30,60
257,0.0244140625,0x3cc8,200,60
