index,value
0,56.76299285888672
1,56.772987365722656
2,56.781982421875
3,56.77898406982422
4,56.788978576660156
5,56.78498077392578
6,56.788978576660156
7,56.788978576660156
8,56.788978576660156
9,56.77098846435547
10,56.75299835205078
11,56.788978576660156
12,56.788978576660156
13,56.788978576660156
14,56.788978576660156
15,56.788978576660156
16,56.75299835205078
17,56.788978576660156
18,56.788978576660156
19,56.77098846435547
20,56.788978576660156
21,56.788978576660156
22,56.78697967529297
23,56.788978576660156
24,56.78697967529297
25,56.788978576660156
26,56.78697967529297
27,56.788978576660156
28,56.722015380859375
29,56.758995056152344
30,56.78697967529297
31,56.788978576660156
32,56.77998352050781
33,56.78697967529297
34,56.743003845214844
35,56.788978576660156
36,56.788978576660156
37,56.788978576660156
38,56.788978576660156
39,56.75299835205078
40,56.788978576660156
41,56.788978576660156
42,56.77898406982422
43,56.788978576660156
44,56.788978576660156
45,56.788978576660156
46,56.788978576660156
47,56.76099395751953
48,56.77598571777344
49,56.77698516845703
50,56.788978576660156
51,56.788978576660156
52,56.788978576660156
53,56.75999450683594
54,56.788978576660156
55,56.78697967529297
56,56.788978576660156
57,56.788978576660156
58,56.788978576660156
59,56.788978576660156
60,56.72901153564453
61,56.788978576660156
62,56.78697967529297
63,56.73101043701172
64,56.788978576660156
65,56.788978576660156
66,56.788978576660156
67,56.788978576660156
68,56.78797912597656
69,56.77698516845703
70,56.764991760253906
71,56.788978576660156
72,56.788978576660156
73,56.76799011230469
74,56.788978576660156
75,56.782981872558594
76,56.788978576660156
77,56.788978576660156
78,56.788978576660156
79,56.766990661621094
80,56.788978576660156
81,56.788978576660156
82,56.788978576660156
83,56.788978576660156
84,56.788978576660156
85,56.788978576660156
86,56.78697967529297
87,56.769989013671875
88,56.76299285888672
89,56.75299835205078
90,56.788978576660156
91,56.78697967529297
92,56.788978576660156
93,56.788978576660156
94,56.788978576660156
95,56.788978576660156
96,56.788978576660156
97,56.788978576660156
98,56.788978576660156
99,56.774986267089844
100,56.77898406982422
101,56.788978576660156
102,56.788978576660156
103,56.78697967529297
104,56.788978576660156
105,56.788978576660156
106,56.788978576660156
107,56.788978576660156
108,56.788978576660156
109,56.772987365722656
110,56.788978576660156
111,56.788978576660156
112,56.788978576660156
113,56.788978576660156
114,56.788978576660156
115,56.78697967529297
116,56.788978576660156
117,56.788978576660156
118,56.76099395751953
119,56.788978576660156
120,56.788978576660156
121,56.780982971191406
122,56.780982971191406
123,56.788978576660156
124,56.77098846435547
125,56.75499725341797
126,56.788978576660156
127,56.78797912597656
